,average_price,last_price,buy_trades_count,sell_trades_count,trades_count_imb,base_volume,quote_volume,mean_gas,mean_gas_price,mean_gas_value
2023-08-02 22:58:00+00:00,1848.9731648653617,1849.628338276831,0.0,2,1.0,0.14589662823148225,269.677303,219609.0,21.000232959999998,0.004609864215171072
2023-08-02 22:59:00+00:00,1842.7444590028233,1837.4406297832231,5.0,2,0.2857142857142857,6.949503435028093,12808.18958,184641.0,21.634407570285713,0.003991300257090999
2023-08-02 23:00:00+00:00,1844.3907207005625,1844.3907207005625,0.0,1,1.0,1.3429909249701444,2477.0,217168.0,21.74002176,0.00472123704557568
2023-08-02 23:01:00+00:00,1845.769937294134,1848.4896990144778,0.0,3,1.0,2.049202718953722,3781.938088,219505.0,21.597401770666664,0.004743942378010624
2023-08-02 23:02:00+00:00,1840.847809723184,1842.55186692771,3.0,0,0.0,3.4616929552915345,6375.327332,248280.66666666666,21.087288661333332,0.00522732785449984
2023-08-02 23:03:00+00:00,1844.7182621835636,1848.4369508438976,1.0,2,0.6666666666666666,50.85940754454913,93696.366877,210536.66666666666,25.282564095999998,0.0049292009868158295
2023-08-02 23:04:00+00:00,1837.3353160128734,1837.3353160128734,1.0,0,0.0,0.3703594423236091,680.474483,208178.0,18.96306688,0.00394769333694464
2023-08-02 23:05:00+00:00,1843.4704424205606,1841.7712995713457,3.0,2,0.4,3.127658546266098,5763.526659,241265.8,19.0082801664,0.004558171045557863
2023-08-02 23:06:00+00:00,1846.974884355986,1849.0094547624713,1.0,3,0.75,5.296295481656262,9773.803503,297935.5,19.323317248,0.0058077307220736
2023-08-02 23:07:00+00:00,1841.031037680699,1837.8181679047177,2.0,1,0.3333333333333333,7.542947924954277,13889.66581,150033.33333333334,19.63424017066667,0.0029489383597943466
2023-08-02 23:08:00+00:00,1840.5831592319394,1841.6108843401132,5.0,1,0.16666666666666666,6.394332066655008,11771.837191999999,230066.0,18.15187899733333,0.004123616957687125
2023-08-02 23:09:00+00:00,1841.312635606873,1841.1672689908805,2.0,0,0.0,32.99231272797257,60749.480612,535201.5,18.545943552,0.010630766376679424
2023-08-02 23:10:00+00:00,1841.277708316552,1840.8977279982105,3.0,3,0.5,13.31529288558506,24513.20608,237052.5,21.15075072,0.005003168903290879
